Release Date,Episode Title,pos,neg,neu,compound,Season,Episode,Name,Sentence
29/05/2016,Blood of My Blood,0.063,0.125,0.812,-0.8738,6.0,6.0,randyll,"It's called Heartsbane. It's been in our family for 500 years. It's Valyrian steel. Only a handful of them left in the world. It's supposed to go to my firstborn son after I die. To him. He will never wield that sword. If he were to become Lord Tarly of Horn Hill, it would be the end of this house. I took you for a Mole's Town whore when I saw you and I made my peace with that. Who else would have him? But I overestimated him. No. It was a wildling whore that seduced my son. This you getting back at me, boy? Hmm? Bring that to my table and making me dine with it. And you got what you were after, didn't you? A bastard. A half-breed bastard. Your invitation into our home."
05/06/2016,The Broken Man,0.0,0.222,0.778,-0.8741,6.0,7.0,dim dalba,"We said we'd fight with you, King Crow, when the time comes and we meant it, but this isn't what we agreed to. These aren't White Walkers. This isn't an army of the dead. This isn't our find."
05/06/2016,The Broken Man,0.088,0.2,0.713,-0.891,6.0,7.0,davos,"Your uncle, Lord Commander Mormont, made that man his steward. He chose Jon to be his successor because he knew had the courage to do what was right, even if it meant giving his life. Because Jeor Mormont and Jon Snow both understood that the real war isn't between a few squabbling houses. It's between the living and the dead. And make no mistake, my lady, the dead are coming."
05/06/2016,The Broken Man,0.088,0.2,0.713,-0.891,6.0,7.0,davos,"Your uncle, Lord Commander Mormont, made that man his steward. He chose Jon to be his successor because he knew had the courage to do what was right, even if it meant giving his life. Because Jeor Mormont and Jon Snow both understood that the real war isn't between a few squabbling houses. It's between the living and the dead. And make no mistake, my lady, the dead are coming."
16/07/2017,Dragonstone,0.0,0.346,0.654,-0.9612,7.0,1.0,cersei lannister,Enemies to the north. Ned Stark's bastard has been named King in the North and that murdering whore Sansa stands beside him. Enemies everywhere. We're surrounded by traitors. You're in command of the Lannister army now. How do we proceed?
23/07/2017,Stormborn,0.422,0.0,0.578,0.9313,7.0,2.0,tyrion lannister,"I can't speak to prophecies or visions in the flames, but I like Jon Snow and I trusted him, and I am an excellent judge of character."
23/07/2017,Stormborn,0.422,0.0,0.578,0.9313,7.0,2.0,tyrion lannister,"I can't speak to prophecies or visions in the flames, but I like Jon Snow and I trusted him, and I am an excellent judge of character."
30/07/2017,The Queen’s Justice,0.0,0.146,0.854,-0.9136,7.0,3.0,davos,"But if destiny has brough Daenerys Targaryen back to our shores, it has also made Jon Snow King in the North. You were the first to bring Dothraki to Westeros. He was the first to make allies with Wildlings and northmen. He was named Lord Commander of the Night's Watch. He was named King in the North. Not because of his birthright. He has no birthright. He's a damn bastard. All those hard son's of bitches chose him as their leader because they believe in him."
30/07/2017,The Queen’s Justice,0.0,0.146,0.854,-0.9136,7.0,3.0,davos,"But if destiny has brough Daenerys Targaryen back to our shores, it has also made Jon Snow King in the North. You were the first to bring Dothraki to Westeros. He was the first to make allies with Wildlings and northmen. He was named Lord Commander of the Night's Watch. He was named King in the North. Not because of his birthright. He has no birthright. He's a damn bastard. All those hard son's of bitches chose him as their leader because they believe in him."
30/07/2017,The Queen’s Justice,0.0,0.146,0.854,-0.9136,7.0,3.0,davos,"But if destiny has brough Daenerys Targaryen back to our shores, it has also made Jon Snow King in the North. You were the first to bring Dothraki to Westeros. He was the first to make allies with Wildlings and northmen. He was named Lord Commander of the Night's Watch. He was named King in the North. Not because of his birthright. He has no birthright. He's a damn bastard. All those hard son's of bitches chose him as their leader because they believe in him."
13/08/2017,Eastwatch,0.337,0.0,0.663,0.846,7.0,5.0,sansa stark,"You're very kind, my lords, but Jon is our king. He is doing what he thinks is best."
13/08/2017,Eastwatch,0.0,0.415,0.585,-0.8316,7.0,5.0,davos,He doesn't need to be thinking about harboring the bastard of a dead king.
20/08/2017,Beyond the Wall,0.053,0.254,0.692,-0.9177,7.0,6.0,sansa stark,"You should be on your knees thanking me. We're standing in Winterfell again because of me. You didn't win it back. Jon didn't win it back. He lost the Battle of the Bastards. The Knight's of the Vale won the battle and they rode north for me while you were off where, traveling the world?"
20/08/2017,Beyond the Wall,0.053,0.254,0.692,-0.9177,7.0,6.0,sansa stark,"You should be on your knees thanking me. We're standing in Winterfell again because of me. You didn't win it back. Jon didn't win it back. He lost the Battle of the Bastards. The Knight's of the Vale won the battle and they rode north for me while you were off where, traveling the world?"
20/08/2017,Beyond the Wall,0.0,0.406,0.594,-0.9375,7.0,6.0,arya stark,Are you scared I'll show it to Jon and he'll be angry? No. That's not Jon. He'll understand. You were just a scared little girl all alone with the wicked Lannisters.
20/08/2017,Beyond the Wall,0.375,0.0,0.625,0.8807,7.0,6.0,tyrion lannister,"It's interesting these heroes you name. Drogo, Jorah, Dario, even this Jon Snow, they all fell in love with you."
20/08/2017,Beyond the Wall,0.375,0.0,0.625,0.8807,7.0,6.0,tyrion lannister,"It's interesting these heroes you name. Drogo, Jorah, Dario, even this Jon Snow, they all fell in love with you."
27/08/2017,The Dragon and the Wolf,0.0,0.502,0.498,-0.9442,7.0,7.0,cersei lannister,"If anything goes wrong, kill the silver-haired bitch first, then our brother, then the bastard who calls himself king."
14/04/2019,Winterfell,0.0,0.744,0.256,-0.8658,8.0,1.0,yara greyjoy,But kill the bastards anyway.
14/04/2019,Winterfell,0.289,0.053,0.658,0.9413,8.0,1.0,davos,"Her gratitude is lovely, but that's not my point. The Northmen are loyal to Jon Snow, not to her. They don't know her. The Free Folk don't know her. I've been up here a while, and I'm telling you, they're stubborn as goats. You want their loyalty, you have to earn it."
14/04/2019,Winterfell,0.289,0.053,0.658,0.9413,8.0,1.0,davos,"Her gratitude is lovely, but that's not my point. The Northmen are loyal to Jon Snow, not to her. They don't know her. The Free Folk don't know her. I've been up here a while, and I'm telling you, they're stubborn as goats. You want their loyalty, you have to earn it."
21/04/2019,A Knight of the Seven Kingdoms,0.071,0.231,0.698,-0.8779,8.0,2.0,davos,"You are now. Look, I made it through most of my years without ever getting near a fight, but then I survived the Battle of the Bastards. Right outside these walls. If I can live through that, you can live through this. They'll outfit you with weapons at the forge. Right that way."
19/05/2019,The Iron Throne,0.0,0.278,0.722,-0.8271,8.0,6.0,arya stark,Jon. She knows who you are. Who you really are. You'll always be a threat to her. And I know a killer when I see one.
