Release Date,Episode Title,pos,neg,neu,compound,Episode,Season,Name,Sentence
27/08/2017,The Dragon and the Wolf,0.124,0.0,0.876,0.2411,7.0,7.0,daenerys targaryen,I can't forget what I saw north of the Wall. And I can't pretend that Cersei won't take back half the country the moment I march north.
27/08/2017,The Dragon and the Wolf,0.0,0.0,1.0,0.0,7.0,7.0,petyr baelish,Why did she unearth the letter Cersei made you write?
27/08/2017,The Dragon and the Wolf,0.063,0.22,0.716,-0.6908,7.0,7.0,theon greyjoy,"What you did in King's Landing, what you said... You couldo ve lied to Cersei about bending the knee to Daenerys. You risked everything to tell an enemy the truth."
27/08/2017,The Dragon and the Wolf,0.0,0.276,0.724,-0.6369,7.0,7.0,sansa stark,You conspired with Cersei Lannister and Joffrey Baratheon to betray our father.
14/04/2019,Winterfell,0.0,0.191,0.809,-0.3818,1.0,8.0,sansa stark,Cersei told you her army was coming north to fight for you?
14/04/2019,Winterfell,0.0,0.0,1.0,0.0,1.0,8.0,qyburn,"That was Ser Jaime's doing, not hers. When Queen Cersei wants something, she pays in advance and in gold. Several chests of it, in fact. Waiting for you in a wagon just outside."
14/04/2019,Winterfell,0.09,0.262,0.648,-0.7391,1.0,8.0,qyburn,"When the Citadel expelled me, I thought I would die poor and alone, but in exchange for my service, Queen Cersei made me her Hand. What would she do for the man who rids her of her treasonous brothers?"
21/04/2019,A Knight of the Seven Kingdoms,0.0,0.223,0.777,-0.743,2.0,8.0,daenerys targaryen,"Either you knew Cersei was lying and let me believe otherwise, or you didn't know at all. Which makes you either a traitor or a fool."
21/04/2019,A Knight of the Seven Kingdoms,0.136,0.096,0.767,0.2363,2.0,8.0,daenerys targaryen,"Cersei still sits on the throne. If you can't help me take it back, I'll find another Hand who can."
21/04/2019,A Knight of the Seven Kingdoms,0.105,0.0,0.895,0.25,2.0,8.0,tyrion lannister,Cersei told me the pregnancy had changed her. A chance for you both to start again. And I believed her.
21/04/2019,A Knight of the Seven Kingdoms,0.321,0.17,0.508,0.713,2.0,8.0,tyrion lannister,At least Cersei won't get to murder me. I'm sure I'll feel some satisfaction denying her that pleasure while I'm being ripped apart by dead men.
21/04/2019,A Knight of the Seven Kingdoms,0.279,0.078,0.643,0.7612,2.0,8.0,daenerys targaryen,"I asked him to be my Hand because he was good, and intelligent, and ruthless when he had to be. He never should have trusted Cersei."
21/04/2019,A Knight of the Seven Kingdoms,0.0,0.504,0.496,-0.9034,2.0,8.0,sansa stark,"And what happens afterwards? We defeat the dead, we destroy Cersei. What happens then?"
12/05/2019,The Bells,0.148,0.0,0.852,0.5106,5.0,8.0,tyrion lannister,They're afraid. Anyone who resists Cersei will see his family butchered. You can't expect them to be heroes. They're hostages.
12/05/2019,The Bells,0.083,0.237,0.68,-0.836,5.0,8.0,tyrion lannister,"Cersei's followers will abandon her if they know the war is lost. Give them that chance. If the city surrenders, they will ring the bells and raise the gates. Please, if you hear them ringing the bells, call off the attack."
12/05/2019,The Bells,0.0,0.37,0.63,-0.6908,5.0,8.0,arya stark,I'm Arya Stark. I'm going to kill Queen Cersei.
12/05/2019,The Bells,0.133,0.148,0.719,-0.091,5.0,8.0,sandor clegane,"Think about it. She kills Cersei, the war's over. There won't be a siege. You might not even die tomorrow."
12/05/2019,The Bells,0.0,0.362,0.638,-0.5267,5.0,8.0,jaime lannister,"Cersei once called me ""the stupidest Lannister."""
12/05/2019,The Bells,0.182,0.0,0.818,0.25,5.0,8.0,jaime lannister,When have I ever been able to convince Cersei of anything?
12/05/2019,The Bells,0.272,0.0,0.728,0.6808,5.0,8.0,tyrion lannister,You do care for one innocent. I know you do. And so does Cersei. She has a reason now.
12/05/2019,The Bells,0.136,0.185,0.679,-0.3016,5.0,8.0,jaime lannister,Sail right past the Iron Fleet and into a new life? Sounds a lot less likely than Cersei winning this war-
12/05/2019,The Bells,0.0,0.0,1.0,0.0,5.0,8.0,tyrion lannister,"There won't be an Iron Fleet for much longer. Do it. If you don't, you'll never see Cersei again."
12/05/2019,The Bells,0.263,0.172,0.565,0.4932,5.0,8.0,euron greyjoy,"Oh, but I am. And I fucked the queen. If I win, I'll bring your head to Cersei so you can kiss her one last time."
19/05/2019,The Iron Throne,0.14,0.309,0.551,-0.6124,6.0,8.0,grey worm,"Kill all who follow Cersei Lannister."" These are free men. They chose to fight for her."
19/05/2019,The Iron Throne,0.0,0.37,0.63,-0.6908,6.0,8.0,arya stark,I came to kill Cersei. Your queen got there first.
19/05/2019,The Iron Throne,0.0,0.355,0.645,-0.296,6.0,8.0,jon snow,Cersei left her no choice.
19/05/2019,The Iron Throne,0.241,0.087,0.672,0.5994,6.0,8.0,daenerys targaryen,I tried to make peace with Cersei. She used their innocence as a weapon against me. She thought it would cripple me.
19/05/2019,The Iron Throne,0.094,0.0,0.906,0.4019,6.0,8.0,yara greyjoy,"She freed us from a tyrant. Cersei is gone because of her, and Jon Snow put a knife in her heart. Let the Unsullied give him what he deserves."
