Release Date,Episode Title,pos,neg,neu,compound,Episode,Season,Name,Sentence
17/05/2015,"Unbowed, Unbent, Unbroken",0.175,0.264,0.561,-0.4019,6.0,5.0,loras,I was wrong to support Renly's claim. I know that. But I was forgiven by Joffrey. I fought for him at the Battle of the Blackwater.
08/06/2014,The Watchers on the Wall,0.0,0.0,1.0,0.0,9.0,4.0,styr,How high are the walls?
08/05/2011,"Cripples, Bastards and Broken Things",0.0,0.0,1.0,0.0,4.0,1.0,viserys targaryen,They do.
29/05/2016,Blood of My Blood,0.0,0.206,0.794,-0.0772,6.0,6.0,sam,"Oh, of course. Sorry. Long journey."
19/05/2019,The Iron Throne,0.474,0.0,0.526,0.4019,6.0,8.0,bran stark,"Yes, I can. I'm king."
12/06/2011,Baelor,0.0,0.293,0.707,-0.609,9.0,1.0,mirri maz duur,lt's not a matter of gold. This is blood magic. Only death pays for life.
17/05/2015,"Unbowed, Unbent, Unbroken",1.0,0.0,0.0,0.4019,6.0,5.0,sansa stark,Yes?
06/08/2017,The Spoils Of War,0.444,0.0,0.556,0.4927,4.0,7.0,daenerys targaryen,That's very good to hear.
19/04/2015,The House of Black and White,0.145,0.1,0.756,0.2849,2.0,5.0,varys,"And we find them repulsive, which is why we surround ourselves with large, comfortable boxes to keep them away. And yet, no matter what we do, people like you and me are never really satisfied inside the box. Not for long."
19/05/2019,The Iron Throne,0.0,0.0,1.0,0.0,6.0,8.0,sam,He-
26/06/2016,The Winds of Winter,0.326,0.0,0.674,0.4404,10.0,6.0,jon snow,"Aye, you're right. I was luckier than most."
06/04/2014,Two Swords,0.124,0.15,0.726,-0.1531,1.0,4.0,tywin lannister,Other knights protected the king while you were a prisoner. They will continue to do so when you go home.
07/04/2013,"Dark Wings, Dark Words",0.389,0.0,0.611,0.8059,2.0,3.0,jaime lannister,"I don't blame him. And I don't blame you, either. We don't get to choose who we love."
